generated_at,date,unit_id,item_id,item_title,word,direct,intermediate,indirect
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-01,President Reshapes Federal Power,aggressively,In a forceful and determined manner,"This is how someone might drive a car if they are in a hurry, or how a company might expand its business","Like a stormy sea, it crashes forward without hesitation"
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-01,President Reshapes Federal Power,executive,Relating to the person or group in charge of an organization,This term is often used to describe high-level officials or the top managers of a company,"The person who holds the keys to the castle, making important decisions"
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-01,President Reshapes Federal Power,authority,The power or right to control or command,"This is what a police officer has when directing traffic, or what a teacher has in the classroom",A gentle but firm hand that guides and directs
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-01,President Reshapes Federal Power,consequences,The results or effects of a particular action,"These are the things that happen as a result of making a choice, like getting a reward or a punishment",The ripples that spread out when a stone is thrown into a quiet lake
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-02,Lawmakers Focus on Clinton's Testimony,testimony,"A formal statement, especially one given in a court of law.","It's often given by a witness or an expert, and is used to provide information about a specific event or situation.","A story told under oath, with the weight of truthfulness behind it."
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-02,Lawmakers Focus on Clinton's Testimony,focused,Concentrated attention or effort on something.,"It involves directing one's mind or attention towards a particular task or activity, often to achieve a specific goal.","Like a lens that brings a clear picture into view, by gathering all the scattered rays of thought."
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-02,Lawmakers Focus on Clinton's Testimony,probing,"Asking questions to get information, often in a careful or thorough way.","It's a way of investigating or examining something, often to understand it better or to find out the truth.","A gentle but firm touch, like a physician examining a patient, to uncover what lies beneath the surface."
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-02,Lawmakers Focus on Clinton's Testimony,reverberate,"To have a lasting or continuing effect, often in a widespread or indirect way.","It's like the sound of an echo that continues to be heard long after the original sound has stopped, but in this case, it's about the impact of an event or action.","Like ripples on a pond, where a single stone can create waves that spread far and wide, changing the calm surface."
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-03,Episode Draws Connections Between Hearings,accountability,The state of being responsible for one's actions,"This concept is often discussed in the context of leadership and decision-making, particularly when evaluating the performance of individuals or organizations","A thread that weaves through the fabric of trust, binding individuals to their choices"
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-03,Episode Draws Connections Between Hearings,investigations,"Official inquiries into something, especially a crime or a problem",These processes often involve gathering evidence and interviewing witnesses to understand the details of a situation,"A search for truth, like following footprints in the snow to uncover what lies beneath"
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-03,Episode Draws Connections Between Hearings,damage,Harm or injury caused to something or someone,"This can refer to physical harm, emotional distress, or financial loss, often resulting from an action or event","A ripple in a pond, disturbing the calm and causing unrest"
2026-03-02T03:36:31Z,2026-02-01,news-2026-02-01,news-2026-02-01-03,Episode Draws Connections Between Hearings,target,A person or thing aimed at or against which something is directed,"In various contexts, this can refer to an objective, a goal, or something that is the focus of attention or criticism","The center of a bullseye, where all eyes and efforts converge"
